INST_NO,inst_name,LATITUDE,LONGITUDE
1302,Toronto East Health Network-Michael Garron Hospital,43.689595,-79.326118
1315,Baycrest Hospital,43.730327427,-79.43235702
1330,North York General Hospital - General Site,43.769509301,-79.36423899
1332,Don Mills Surgical Unit,43.723607576,-79.33617409
1337,St. Johns Rehabitation Hospital,43.78974302,-79.40475476
1338,St. Joseph's Infirmary,43.708681925,-79.34727254
1343,Humber River Health-York Finch,43.755283768,-79.52661403
1355,Providence Healthcare,43.71151909,-79.28365044
1356,Providence Healthcare,43.71151909,-79.28365044
1406,Hospital for Sick Children,43.656560333,-79.38885116
1423,Mount Sinai Hospital,43.657697,-79.38972356
1436,Bridgepoint Hospital,43.66595203,-79.3555059
1437,Bridgepoint Hospital,43.66595203,-79.3555059
1441,Runnymede Healthcare Centre,43.664105029,-79.48143778
1443,St. Joseph's Health Centre,43.63918723,-79.45011509
1444,St. Michael's Hospital,43.65371747,-79.37730388
1469,West Park Healthcare Centre,43.688827248,-79.50798713
1471,West Park Healthcare Centre,43.688827248,-79.50798713
1497,St. Joseph's Health Care London-St. Joseph's,43.000066944,-81.253878
1507,Four Counties Health Services,42.68241519,-81.78885526
1508,Four Counties Health Services,42.68241519,-81.78885526
1515,Strathroy Middlesex General Hospital,42.960909953,-81.6346825
1516,Strathroy Middlesex General Hospital,42.960909953,-81.6346825
1538,West Lincoln Memorial,43.18772043,-79.54213768
1539,West Lincoln Memorial,43.18772043,-79.54213768
1591,Norfolk General Hospital,42.834778024,-80.31408437
1592,Norfolk General Hospital,42.834778024,-80.31408437
1597,Campbellford Memorial Hospital,44.31228116,-77.78956209
1657,Children's Hospital of Eastern Ontario,45.399046146,-75.65275681
1661,Hôpital Montfort,45.44399168,-75.63841269
1681,Queensway Carleton Hospital,45.333895012,-75.80474882
1696,Alexandra Hospital,43.031919609,-80.87481576
1697,Alexandra Hospital,43.031919609,-80.87481576
1709,Tillsonburg District Memorial,42.863208889,-80.73469363
1710,Tillsonburg District Memorial,42.863208889,-80.73469363
1716,Woodstock Hospital,43.1086531,-80.75387693
1717,Woodstock Hospital,43.1086531,-80.75387693
1718,Woodstock Private Hospital,43.143133,-80.751257
1740,Listowel Memorial Hospital,43.732839087,-80.95030721
1741,Listowel Memorial Hospital,43.732839087,-80.95030721
1748,St Marys Memorial Hospital,43.25841477,-81.1517911
1754,Stratford General Hospital,43.368721684,-80.9954347
1755,Stratford General Hospital,43.368721684,-80.9954347
1768,Peterborough Regional Health Centre,44.30090349,-78.34592675
1769,Peterborough Regional Health Centre,44.30090349,-78.34592675
1777,Hawkesbury and District General Hospital,45.598755903,-74.60791892
1799,Arnprior Regional Health,45.440918922,-76.35219901
1800,Arnprior Regional Health,45.440918922,-76.35219901
1801,St. Francis Memorial Hospital,45.482686839,-77.69384503
1803,Deep River and District Hospital,46.09099964,-77.47642632
1804,Pembroke Regional  Hospital,45.813898829,-77.1080447
1805,Pembroke Regional  Hospital,45.813898829,-77.1080447
1813,Renfrew Victoria Hospital,45.482492923,-76.69729637
1814,Renfrew Victoria Hospital,45.482492923,-76.69729637
1817,Stevenson Memorial Hospital,44.155273282,-79.87599703
1825,Royal Victoria Regional Health Centre,44.416182997,-79.66204133
1826,Royal Victoria Regional Health Centre,44.416182997,-79.66204133
1833,Collingwood General and Marine Hospital,44.498101142,-80.20274196
1844,Georgian Bay General Hospital - Midland,44.741877543,-79.91164133
1853,Orillia Soldiers' Memorial Hospital,44.60462924,-79.42485038
1854,Orillia Soldiers' Memorial Hospital,44.60462924,-79.42485038
1858,Beechwood Private Hospital,44.774789,-79.929089
1870,Glengarry Memorial Hospital,45.307000167,-74.64530826
1885,Winchester District Memorial Hospital,45.088452395,-75.35239482
1886,Winchester District Memorial Hospital,45.088452395,-75.35239482
1893,Ross Memorial Hospital,44.3522984,-78.75156924
1894,Ross Memorial Hospital,44.3522984,-78.75156924
1905,Cambridge Memorial Hospital,43.37880489,-80.32800591
1906,Cambridge Memorial Hospital,43.37880489,-80.32800591
1912,Grand River Hospital - Freeport,43.424157897,-80.41272433
1921,St. Mary's General Hospital,43.43817641,-80.50044803
1936,Groves Memorial Community Hospital,43.709139993,-80.39223003
1937,Groves Memorial Community Hospital,43.709139993,-80.39223003
1946,Guelph General Hospital,43.555809663,-80.25381443
1952,St. Joseph's Health Centre Guelph,43.550927573,-80.27102844
1982,Hamilton Health Sciences - General,43.261297483,-79.85433351
1983,Hamilton Health Sciences - Juravinski,43.23930707,-79.84535369
1994,Hamilton Health Sciences - McMaster,43.257956198,-79.91715434
2003,St. Joseph's Healthcare Hamilton-Charlton Campus,43.249163326,-79.86964711
2006,St. Peter's,43.24513633,-79.83711899
2038,Southlake Regional Health Centre,44.06085643,-79.45261984
2046,Mackenzie Health-Richmond Hill,43.87029911,-79.44955162
2049,Shouldice Hospital,43.821294593,-79.40182949
2057,North Shore Health Network-Blind River,46.185873614,-82.92537587
2058,St. Joseph's General Hospital - Elliot Lake,46.384182474,-82.66110323
2059,St. Joseph's General Hospital - Elliot Lake,46.384182474,-82.66110323
2061,Hornepayne Community Hospital,48.76861797,-80.68564595
2064,Saut Area Hospital-Richards Landing,46.29325693,-84.03555724
2075,Saut Area Hospital-Thessalon,46.26376801,-83.55977926
2076,Lady Dunn Health Centre,48.000142418,-84.77256639
2078,Lady Minto Hospital,49.069716483,-81.02001451
2079,Lady Minto Hospital,49.069716483,-81.02001451
2080,James Bay General-Fort Albany,51.25092712,-80.61654517
2082,Notre Dame Hospital,49.686849117,-83.67850471
2083,Notre Dame Hospital,49.686849117,-83.67850471
2084,Anson General Hospital,49.21100821,-84.77444356
2088,Sensenbrenner Hospital,49.424894375,-82.42908094
2089,Sensenbrenner Hospital,49.424894375,-82.42908094
2090,Bingham Memorial Hospital,48.539308905,-80.46976525
2091,Weeneebayko General Hospital,51.25092712,-80.61654517
2092,James Bay General-Moosonee,51.272733,-80.646821
2094,Smooth Rock Falls Hospital,49.273019554,-81.61212002
2101,James Bay General-Attawapiskat,52.924247,-82.427797
2103,Dryden Regional Health Centre,49.769700855,-92.83901427
2104,Dryden Regional Health Centre,49.769700855,-92.83901427
2110,Lake-of-the-Woods District Hospital,49.76687123,-94.49939188
2115,Red Lake Margaret Cochenour Memorial Hospital,51.014021938,-93.82074858
2121,Manitoulin Health Centre-Little Current,45.97904477,-81.92682953
2123,Manitoulin Health Centre-Mindemoya,45.737945464,-82.16748567
2126,Mattawa General Hospital,46.311368052,-78.71519556
2147,Atikokan General Hospital,48.75360749,-91.59844063
2148,Riverside Health Care-Emo,48.63094205,-93.8419692
2150,Riverside Health Care-La Verendrye,48.607128004,-93.39258612
2151,Riverside Health Care-La Verendrye,48.607128004,-93.39258612
2153,Riverside Health Care-Rainy River,48.718514801,-94.5686064
2173,Chapleau Health Services,47.840230856,-83.41508332
2174,Espanola General Hospital,46.24785197,-81.78004889
2175,Geraldton District Hospital,49.722794634,-86.95493864
2176,Manitouwadge General Hospital,49.12743036,-85.82431623
2177,Wilson Memorial General Hospital,48.718349,-86.37741837
2178,Nipigon District Memorial Hospital,49.01489976,-88.27436745
2180,McCausland Hospital,48.78085211,-87.10422149
2204,Englehart and District Hospital,47.822972214,-79.87854588
2207,Temiskaming Hospital,47.4943343,-79.69562316
2208,Temiskaming Hospital,47.4943343,-79.69562316
2211,Kirkland and District Hospital,48.156267168,-80.01946608
2212,Kirkland and District Hospital,48.156267168,-80.01946608
2217,Southlake Regional Health Centre,44.06085643,-79.45261984
2218,Mackenzie Health-Richmond Hill,43.87029911,-79.44955162
2219,Chatham-Kent Health Alliance - Sydenham Site,42.59737851,-82.3668958
2223,Providence Care Hospital,44.220393906,-76.5259062
2224,Lake-of-the-Woods District Hospital,49.76687123,-94.49939188
2399,Glengarry Memorial Hospital,45.307000167,-74.64530826
2626,Chatham-Kent Health Alliance - Chatham Site,42.40587608,-82.19401363
2628,St. Francis Memorial Hospital,45.482686839,-77.69384503
2629,Almonte General Hospital,45.228483727,-76.18993598
2771,Southlake Regional Health Centre,44.06085643,-79.45261984
2809,Chapleau Health Services,47.840230856,-83.41508332
2812,West Nipissing General Hospital,46.372396573,-79.91570966
28184,University Health Network-West Park Healthcare,43.686762,-79.50856
28185,Huron Perth Healthcare Alliance-Clinton,43.621385113,-81.54264245
28186,Huron Perth Healthcare Alliance-St. Marys,43.25841477,-81.1517911
28187,Huron Perth Healthcare Alliance-Seaforth,43.551629267,-81.38571314
28188,Huron Perth Healthcare Alliance-Stratford,43.368721684,-80.9954347
28191,Trillium Health Partners-UHN-RCC,43.688827248,-79.50798713
2839,North Shore Health Network-Blind River,46.185873614,-82.92537587
2841,West Nipissing General Hospital,46.372396573,-79.91570966
2842,Atikokan General Hospital,48.75360749,-91.59844063
2933,Salvation Army Toronto Grace Health Centre,43.667292834,-79.33794579
3024,Hôpital Montfort,45.44399168,-75.63841269
3149,St Marys Memorial Hospital,43.25841477,-81.1517911
3153,Anson General Hospital,49.21100821,-84.77444356
3154,Red Lake Margaret Cochenour Memorial Hospital,51.014021938,-93.82074858
3155,St. Joseph's Healthcare Hamilton-Charlton Campus,43.249163326,-79.86964711
3156,Geraldton District Hospital,49.722794634,-86.95493864
3158,Nipigon District Memorial Hospital,49.01489976,-88.27436745
3167,Englehart and District Hospital,47.822972214,-79.87854588
3168,Espanola General Hospital,46.24785197,-81.78004889
3169,Mattawa General Hospital,46.311368052,-78.71519556
3171,Bingham Memorial Hospital,48.539308905,-80.46976525
31901,Kingston Health Sciences-AHF-Windsor Retirement Residence,44.222389,-76.642182
31902,Unity Health Toronto-AHF-Weston Gardens Retirement,43.707456,-79.502199
31903,Unity Health Toronto-AHF-Cedarbrook Lodge,43.754973,-79.22471
31904,Scarborough Health Network-AHF-Cedarbrook Lodge-TCU,43.754973,-79.22471
31905,Scarborough Health Network-AHF-Sunrise-TCU,43.86302,-79.298982
31906,Peterborough Regional-AHF-Rubidge Retirement Residence,44.301107,-78.326071
31907,Southlake Regional Health Centre-AHF-Elden TCU,44.062667,-79.855214
3240,Salvation Army Toronto Grace Health Centre,43.667292834,-79.33794579
3241,St. Joseph's Healthcare Hamilton-Charlton Campus,43.249163326,-79.86964711
3247,McCausland Hospital,48.78085211,-87.10422149
3286,Credit Valley Hospital,43.56064308,-79.70473857
3287,Credit Valley Hospital,43.56064308,-79.70473857
3288,Credit Valley Hospital,43.56064308,-79.70473857
3329,Hawkesbury and District General Hospital,45.598755903,-74.60791892
3402,James Bay General-Attawapiskat,52.924247,-82.427797
3411,North Bay General-Civic,46.322485,-79.470098
3412,North Bay General-St. Joseph,46.320492,-79.467847
3413,North Bay General-St. Joseph,46.320492,-79.467847
3414,Timmins and District Hospital,48.48602823,-81.31588479
3415,Timmins and District Hospital,48.48602823,-81.31588479
3416,Timmins and District Hospital,48.48602823,-81.31588479
3438,Bellwood Health Services,43.80424686,-79.33403355
3439,Baycrest Hospital,43.730327427,-79.43235702
3455,James Bay General-Fort Albany,51.25092712,-80.61654517
3459,Casey House Hospice,43.668674426,-79.37785819
3507,Royal Victoria Regional Health Centre,44.416182997,-79.66204133
3586,Smooth Rock Falls Hospital,49.273019554,-81.61212002
3587,Oak Valley Health-Markham Stouffville Hospital,43.88478379,-79.23305185
3588,Oak Valley Health-Markham Stouffville Hospital,43.88478379,-79.23305185
3589,Hotel Dieu Hospital of Cornwall,45.015193427,-74.7318015
3612,Stratford General Hospital,43.368721684,-80.9954347
3617,Peterborough Regional Health Centre,44.30090349,-78.34592675
3656,Riverside Health Care-Emo,48.63094205,-93.8419692
3669,Wilson Memorial General Hospital,48.718349,-86.37741837
3684,Headwaters Health Care Centre-Dufferin,43.920839285,-80.0723515
3685,Headwaters Health Care Centre-Shelburne,44.080205,-80.200438
3687,Penetanguishene General,44.76839296,-79.9295064
3707,Hotel-Dieu Grace Hospital,42.3077979,-83.03270289
3717,Penetanguishene General,44.76839296,-79.9295064
3729,West Parry Sound Health Centre,45.342170123,-80.01912069
3730,West Parry Sound Health Centre,45.342170123,-80.01912069
3732,Perth and Smiths Falls District Hospital - Perth,44.905472456,-76.25353001
3733,Perth and Smiths Falls District Hospital - Perth,44.905472456,-76.25353001
3734,Grand River Hospital - Kitchener-Waterloo,43.4571341,-80.51155986
3735,Grand River Hospital - Freeport,43.424157897,-80.41272433
3736,Grand River Hospital - Kitchener-Waterloo,43.4571341,-80.51155986
3737,Haliburton Highlands Health Services - Haliburton,45.038312586,-78.52850303
3778,Joseph Brant Hospital,43.317733841,-79.80366892
3781,Bruyère Health-Saint-Vincent,45.413412752,-75.70813043
3782,Bruyère Health-Élizabeth Bruyère,45.431740369,-75.6968772
3845,Windsor Regional Hospital-Western,42.28670813,-83.06322757
3846,Windsor Regional Hospital-Western,42.28670813,-83.06322757
3850,London Health Sciences Centre,43.0153423,-81.27533189
3853,Thunder Bay Regional Health Sciences Centre,48.421780797,-89.26766045
3855,Holland Bloorview Kids Rehabilitation Hospital,43.717847983,-79.37268637
3856,Holland Bloorview Kids Rehabilitation Hospital,43.717847983,-79.37268637
3858,Mackenzie Health-Richmond Hill,43.87029911,-79.44955162
3860,Northumberland Hills Hospital,43.97673572,-78.19720464
3861,Northumberland Hills Hospital,43.97673572,-78.19720464
3879,Hamilton Health Sciences - Chedoke,43.238296,-79.915533
3880,Hamilton Health Sciences - Juravinski,43.23930707,-79.84535369
3881,Hamilton Health Sciences - Chedoke,43.238296,-79.915533
3883,Humber River Health-Church (Memorial),43.708367194,-79.50959672
3884,St. Joseph's Health Care London-Parkwood,42.958521807,-81.22721342
3890,St. Joseph's Care Group,48.437918777,-89.22302967
3891,St. Joseph's Care Group,48.437918777,-89.22302967
3892,St. Joseph's Care Group,48.437918777,-89.22302967
3897,Wingham and District Hospital,43.884610529,-81.30621636
3905,St. Johns Rehabitation Hospital,43.78974302,-79.40475476
3907,South Bruce Grey Health Centre - Kincardine,44.18794784,-81.62715794
3910,University Health Network,43.659578245,-79.38706438
3912,St. Joseph's Health Centre Guelph,43.550927573,-80.27102844
3915,St. Joseph's Health Care London-Parkwood,42.958521807,-81.22721342
3916,St. Joseph's Health Care London-Parkwood,42.958521807,-81.22721342
3917,Trillium Health Centre-Mississauga,43.57224752,-79.60962036
3918,Trillium Health Centre-Queensway,43.60967281,-79.56135702
3920,North Shore Health Network-Blind River,46.185873614,-82.92537587
3926,Halton Healthcare Services - Oakville,43.448917192,-79.76659384
3927,Halton Healthcare Services - Oakville,43.448917192,-79.76659384
3929,William Osler Health System - Etobicoke,43.73043291,-79.60091456
3930,William Osler Health System - Etobicoke,43.73043291,-79.60091456
3932,Lakeridge Health - Oshawa,43.90606337,-78.86888462
3933,Lakeridge Health - Oshawa,43.90606337,-78.86888462
3934,Lakeridge Health - Oshawa,43.90606337,-78.86888462
3936,Sunnybrook Health Sciences Centre - Bayview Campus,43.72147819,-79.37896367
3937,Sunnybrook Health Sciences Centre - Bayview Campus,43.72147819,-79.37896367
3939,Sunnybrook Health Sciences Centre - Bayview Campus,43.72147819,-79.37896367
3940,Rouge Valley Health System-Centenary,43.78225527,-79.20644578
3941,Rouge Valley Health System-Centenary,43.78225527,-79.20644578
3943,Rouge Valley Health System-Centenary,43.78225527,-79.20644578
3944,Brightshores Health System-Owen Sound,44.56745188,-80.91238196
3945,Brightshores Health System-Owen Sound,44.56745188,-80.91238196
3946,Brightshores Health System-Owen Sound,44.56745188,-80.91238196
3948,St. Vincent De Paul-Brockville,44.59202702,-75.68319067
3949,Toronto Rehabilitation Institute-Bickle Centre,43.63513868,-79.43232488
3950,Toronto Rehabilitation Institute-Hillcrest,43.65679651,-79.38935332
3951,Toronto Rehabilitation Institute-Lyndhurst,43.71831862,-79.36934482
3969,Hospital for Sick Children,43.656560333,-79.38885116
3970,Queensway Carleton Hospital,45.333895012,-75.80474882
3972,Sault Area Hospital,46.54805611,-84.31934519
3974,Wilson Memorial General Hospital,48.718349,-86.37741837
3975,Scarborough Hospital-General Site,43.75510256,-79.24780021
3978,Niagara Health System - Welland Hospital,42.980753365,-79.24912129
3982,Niagara Health System-Niagara Falls,43.093578126,-79.09179437
3983,Hotel Dieu Shaver Health and Rehabilitation Centre,43.123091306,-79.24340249
3984,Scarborough Hospital-Birchmount,43.80171506,-79.30801201
3985,St. Michael's Hospital,43.65371747,-79.37730388
3986,Credit Valley Hospital,43.56064308,-79.70473857
3987,Royal Victoria Regional Health Centre,44.416182997,-79.66204133
3988,Quinte Health-Belleville,44.16370392,-77.36490576
3989,Quinte Health-Belleville,44.16370392,-77.36490576
3990,Quinte Health-Belleville,44.16370392,-77.36490576
3991,Quinte Health-North Hastings,45.055319442,-77.86335245
3992,Quinte Health-Picton,44.015973637,-77.13651134
3994,Quinte Health-Trenton,44.098996422,-77.58783746
3995,Quinte Health-Trenton,44.098996422,-77.58783746
4001,Southlake Regional Health Centre,44.06085643,-79.45261984
4005,Lakeridge Health - Port Perry,44.104669753,-78.95378113
4008,Lakeridge Health - Bowmanville,43.908874638,-78.67946254
4009,Lakeridge Health - Bowmanville,43.908874638,-78.67946254
4014,Rouge Valley Health System-Ajax,43.83787895,-79.0158433
4016,William Osler Health System-Peel Memorial,43.69093853,-79.75121799
4017,William Osler Health System-Peel Memorial,43.69093853,-79.75121799
4022,Halton Healthcare Services - Milton,43.497900055,-79.86981128
4023,Halton Healthcare Services - Milton,43.497900055,-79.86981128
4025,Brightshores Health System-Markdale,44.317634918,-80.65087084
4027,Brightshores Health System-Meaford,44.60631879,-80.60035814
4030,Brightshores Health System-Southampton,44.493380899,-81.36586503
4033,Brightshores Health System-Wiarton,44.738326545,-81.13862259
4036,South Bruce Grey Health Centre - Durham,44.179628708,-80.82843928
4039,South Bruce Grey Health Centre - Walkerton,44.122608879,-81.1532681
4042,South Bruce Grey Health Centre - Chesley,44.298969071,-81.09414441
4044,Guelph General Hospital,43.555809663,-80.25381443
4045,Niagara Health System - St. Catharines,43.15523353,-79.27725988
4046,Ottawa Hospital-Civic Campus,45.391885487,-75.72084944
4048,Ottawa Hospital-General Campus,45.399418274,-75.64737191
4052,William Osler Health System-Peel Memorial,43.69093853,-79.75121799
4053,Espanola General Hospital,46.24785197,-81.78004889
4054,St. Joseph's Healthcare Hamilton-Charlton Campus,43.249163326,-79.86964711
4055,St. Joseph's Healthcare Hamilton-King,43.22058016,-79.77488139
4056,St. Joseph's Health Centre,43.63918723,-79.45011509
4057,Woodstock Hospital,43.1086531,-80.75387693
4058,Alexandra Hospital,43.031919609,-80.87481576
4059,Health Sciences North - Ramsey Lake Health Centre,46.469429689,-80.99607377
4060,Health Sciences North - Ramsey Lake Health Centre,46.469429689,-80.99607377
4061,Health Sciences North - Ramsey Lake Health Centre,46.469429689,-80.99607377
4063,Health Sciences North - Ramsey Lake Health Centre,46.469429689,-80.99607377
4070,Haldimand War Memorial Hospital,42.906005704,-79.62425483
4071,Pembroke Regional  Hospital,45.813898829,-77.1080447
4073,Peterborough Regional Health Centre,44.30090349,-78.34592675
4074,Clinton Public Hospital,43.621385113,-81.54264245
4075,Seaforth Community Hospital,43.551629267,-81.38571314
4076,St. Thomas Elgin General Hospital,42.76425312,-81.18148333
4077,Campbellford Memorial Hospital,44.31228116,-77.78956209
4078,South Huron Hospital,43.343683613,-81.48103731
4079,Ottawa Hospital-Civic Campus,45.391885487,-75.72084944
4080,Ottawa Hospital-Riverside Campus,45.396278923,-75.67010054
4081,South Bruce Grey Health Centre - Durham,44.179628708,-80.82843928
4082,Alexandra Marine and General Hospital,43.750284855,-81.70601579
4085,Ottawa Hospital-General Campus,45.399418274,-75.64737191
4088,West Haldimand General,42.957623199,-80.04546604
4089,Humber River Health-York Finch,43.755283768,-79.52661403
4090,Trillium Health Centre-Mississauga,43.57224752,-79.60962036
4091,Children's Hospital of Eastern Ontario,45.399046146,-75.65275681
4092,Lennox and Addington County General Hospital,44.240369305,-76.96588938
4093,Tillsonburg District Memorial,42.863208889,-80.73469363
4094,South Bruce Grey Health Centre - Kincardine,44.18794784,-81.62715794
4095,South Bruce Grey Health Centre - Walkerton,44.122608879,-81.1532681
4096,South Bruce Grey Health Centre - Chesley,44.298969071,-81.09414441
4097,Quinte Health-Belleville,44.16370392,-77.36490576
4098,Quinte Health-North Hastings,45.055319442,-77.86335245
4099,Quinte Health-Trenton,44.098996422,-77.58783746
4100,Quinte Health-Picton,44.015973637,-77.13651134
4101,Atikokan General Hospital,48.75360749,-91.59844063
4102,St Marys Memorial Hospital,43.25841477,-81.1517911
4103,Cambridge Memorial Hospital,43.37880489,-80.32800591
4104,Erie Shores Healthcare,42.049349111,-82.61491544
4105,Kingston General Hospital,44.22454365,-76.49286687
4106,Hotel Dieu Hospital-Kingston,44.23111275,-76.48614508
4107,Grand River Hospital - Kitchener-Waterloo,43.4571341,-80.51155986
4108,Orillia Soldiers' Memorial Hospital,44.60462924,-79.42485038
4109,Bluewater Health-Sarnia,42.977661364,-82.38896203
4110,Mount Sinai Hospital,43.657697,-79.38972356
4112,Groves Memorial Community Hospital,43.709139993,-80.39223003
4113,West Lincoln Memorial,43.18772043,-79.54213768
4114,Wingham and District Hospital,43.884610529,-81.30621636
4115,Listowel Memorial Hospital,43.732839087,-80.95030721
4117,Kirkland and District Hospital,48.156267168,-80.01946608
4118,McCausland Hospital,48.78085211,-87.10422149
4123,Timmins and District Hospital,48.48602823,-81.31588479
4124,Riverside Health Care-La Verendrye,48.607128004,-93.39258612
4125,Riverside Health Care-Emo,48.63094205,-93.8419692
4126,Riverside Health Care-Rainy River,48.718514801,-94.5686064
4127,Four Counties Health Services,42.68241519,-81.78885526
4130,Hôpital Montfort,45.44399168,-75.63841269
4131,Brightshores Health System-Owen Sound,44.56745188,-80.91238196
4132,Brightshores Health System-Markdale,44.317634918,-80.65087084
4133,Brightshores Health System-Meaford,44.60631879,-80.60035814
4134,Brightshores Health System-Southampton,44.493380899,-81.36586503
4135,Brightshores Health System-Wiarton,44.738326545,-81.13862259
4136,Halton Healthcare Services - Oakville,43.448917192,-79.76659384
4137,Sioux Lookout Meno Ya Win Health Centre,50.10601595,-91.92542596
4138,Mackenzie Health-Richmond Hill,43.87029911,-79.44955162
4139,Rouge Valley Health System-Centenary,43.78225527,-79.20644578
4140,Rouge Valley Health System-Ajax,43.83787895,-79.0158433
4141,Norfolk General Hospital,42.834778024,-80.31408437
4142,Hotel-Dieu Grace Hospital,42.3077979,-83.03270289
4143,Windsor Regional Hospital-Western,42.28670813,-83.06322757
4144,Joseph Brant Hospital,43.317733841,-79.80366892
4147,Sensenbrenner Hospital,49.424894375,-82.42908094
4149,Hotel-Dieu Grace Hospital,42.3077979,-83.03270289
4150,Trillium Health Centre-Mississauga,43.57224752,-79.60962036
4151,Rouge Valley Health System-Ajax,43.83787895,-79.0158433
4152,Scarborough Hospital-General Site,43.75510256,-79.24780021
4153,Scarborough Hospital-Birchmount,43.80171506,-79.30801201
4154,Scarborough Hospital-Birchmount,43.80171506,-79.30801201
4155,Scarborough Hospital-General Site,43.75510256,-79.24780021
4156,Scarborough Hospital-Birchmount,43.80171506,-79.30801201
4160,Strathroy Middlesex General Hospital,42.960909953,-81.6346825
4161,Headwaters Health Care Centre-Dufferin,43.920839285,-80.0723515
4162,St. Thomas Elgin General Hospital,42.76425312,-81.18148333
4163,Almonte General Hospital,45.228483727,-76.18993598
4164,University of Ottawa Heart Institute,45.394009563,-75.72243531
4166,Manitouwadge General Hospital,49.12743036,-85.82431623
4167,West Nipissing General Hospital,46.372396573,-79.91570966
4168,Stratford General Hospital,43.368721684,-80.9954347
4169,Notre Dame Hospital,49.686849117,-83.67850471
4170,Lakeridge Health - Bowmanville,43.908874638,-78.67946254
4171,Lakeridge Health - Oshawa,43.90606337,-78.86888462
4172,Lakeridge Health - Port Perry,44.104669753,-78.95378113
4175,St. Francis Memorial Hospital,45.482686839,-77.69384503
4177,Ross Memorial Hospital,44.3522984,-78.75156924
4178,Englehart and District Hospital,47.822972214,-79.87854588
4179,Sioux Lookout Meno Ya Win Health Centre,50.10601595,-91.92542596
4180,St. Mary's General Hospital,43.43817641,-80.50044803
4181,Deep River and District Hospital,46.09099964,-77.47642632
4182,Nipigon District Memorial Hospital,49.01489976,-88.27436745
4183,Niagara Health System - Port Colborne,42.880643729,-79.25890105
4184,Renfrew Victoria Hospital,45.482492923,-76.69729637
4185,Lady Minto Hospital,49.069716483,-81.02001451
4186,Brockville General Hospital,44.59786157,-75.68209183
4187,Mattawa General Hospital,46.311368052,-78.71519556
4188,Carleton Place and District Memorial Hospital,45.140770726,-76.13611544
4189,Hanover and District Hospital,44.14202762,-81.02820725
4190,Hornepayne Community Hospital,48.76861797,-80.68564595
4191,Haliburton Highlands Health Services - Minden,44.925933067,-78.73070727
4192,Halton Healthcare Services - Oakville,43.448917192,-79.76659384
4193,Halton Healthcare Services - Milton,43.497900055,-79.86981128
4194,Kemptville District Hospital,45.009416053,-75.64147415
4195,Smooth Rock Falls Hospital,49.273019554,-81.61212002
4196,Red Lake Margaret Cochenour Memorial Hospital,51.014021938,-93.82074858
